family,name,mean_validation_mae,fold,rows,cells,mae,rmse,bias,raw_out_of_range_count
persistence,persistence_last_power,0.27927579365079364,oct_2025,34,1632,0.21270833333333333,0.30234218118903583,-0.04324959150326797,0
persistence,persistence_last_power,0.27927579365079364,nov_2025,56,2688,0.34584325396825394,0.45731607213321207,-0.14409722222222224,0
seasonal_median,seasonal_median_turbine_origin_calendar,0.3062302681489262,oct_2025,34,1632,0.28479064542483656,0.3353040422089742,0.032550040849673216,0
seasonal_median,seasonal_median_turbine_origin_calendar,0.3062302681489262,nov_2025,56,2688,0.32766989087301585,0.3761546995730782,-0.01057539682539683,0
ridge,ridge_alpha_0.1,0.3078552846431309,oct_2025,34,1632,0.29294118617264087,0.3342088732151681,0.07991452055330872,0
ridge,ridge_alpha_0.1,0.3078552846431309,nov_2025,56,2688,0.3227693831136209,0.363609033780981,0.02712578308295406,2
ridge,ridge_alpha_1,0.30789259518081225,oct_2025,34,1632,0.29302231726835953,0.334298679434416,0.07977192547535807,0
ridge,ridge_alpha_1,0.30789259518081225,nov_2025,56,2688,0.322762873093265,0.36340052198280376,0.027756353263937654,2
ridge,ridge_alpha_10,0.30737467850959066,oct_2025,34,1632,0.29235256788198133,0.33347331093391613,0.07891304613427785,0
ridge,ridge_alpha_10,0.30737467850959066,nov_2025,56,2688,0.32239678913719994,0.3627166919573691,0.0277031983335626,2
extra_trees,extra_trees_150_leaf_4_depth_16,0.32055545228583116,oct_2025,34,1632,0.30950203735381704,0.3452614664246266,0.12107779504901355,0
extra_trees,extra_trees_150_leaf_4_depth_16,0.32055545228583116,nov_2025,56,2688,0.3316088672178452,0.3698560596827946,0.037159550420716926,0
extra_trees,extra_trees_200_leaf_12_depth_16,0.3187593384663402,oct_2025,34,1632,0.30815706709713736,0.34350149006648817,0.11294465406437756,0
extra_trees,extra_trees_200_leaf_12_depth_16,0.3187593384663402,nov_2025,56,2688,0.32936160983554297,0.36760876213971766,0.03400440900810371,0
extra_trees,extra_trees_200_leaf_24_depth_12,0.3160516567331114,oct_2025,34,1632,0.3043750078715012,0.3392647868660182,0.10803348676480201,0
extra_trees,extra_trees_200_leaf_24_depth_12,0.3160516567331114,nov_2025,56,2688,0.3277283055947217,0.3660451566025354,0.030484527517539457,0
random_forest,random_forest_120_leaf_8_depth_14,0.3178784508019368,oct_2025,34,1632,0.3075077202252085,0.343582990136311,0.11523935215654153,0
random_forest,random_forest_120_leaf_8_depth_14,0.3178784508019368,nov_2025,56,2688,0.32824918137866504,0.3668694277065458,0.031581471270697395,0
random_forest,random_forest_150_leaf_16_depth_12,0.3190299101709505,oct_2025,34,1632,0.3094839673388286,0.34416231349059184,0.11612575368331507,0
random_forest,random_forest_150_leaf_16_depth_12,0.3190299101709505,nov_2025,56,2688,0.32857585300307235,0.3671341106254851,0.0323966331286238,0
random_forest,random_forest_150_leaf_32_depth_10,0.31770391361576866,oct_2025,34,1632,0.3064918096944488,0.3412941345988509,0.11099975097025944,0
random_forest,random_forest_150_leaf_32_depth_10,0.31770391361576866,nov_2025,56,2688,0.32891601753708855,0.36777908165504036,0.030523474743973492,0
catboost,catboost_250_depth_4,0.3038171800978627,oct_2025,34,1632,0.28601507801971077,0.32434511453682957,0.07343941019905888,0
catboost,catboost_250_depth_4,0.3038171800978627,nov_2025,56,2688,0.3216192821760146,0.3599813119024634,0.02843716828506248,0
catboost,catboost_350_depth_5,0.3054900024250836,oct_2025,34,1632,0.2874704271643812,0.32522978777125905,0.08048469032184648,0
catboost,catboost_350_depth_5,0.3054900024250836,nov_2025,56,2688,0.323509577685786,0.363691839607611,0.025131839029502043,0
catboost,catboost_400_depth_6,0.30807347389813006,oct_2025,34,1632,0.2921089185544961,0.32807128685851356,0.09030441774144157,0
catboost,catboost_400_depth_6,0.30807347389813006,nov_2025,56,2688,0.324038029241764,0.36301357111195987,0.03185154549573406,0
